Timestamp,faixa etária,escolaridade,profissão,disponibilidade,interesse,empresa
1/28/2019 9:45:19,26 à 35 anos,Graduação Completa,Gerente de Projetos/Produto,"Terça-feira à noite (19h às 22h), Quarta-feira à noite (19h às 22h), Sábado à tarde (14h às 17h), Palestras Online/Gravadas",tdd;ci;cd;machine learning;c/c++;go;javascript;php;python;no sql;selenium;desenvolvimento ágil;trello;git,terminal;javascript;php;sql;no sql;desenvolvimento ágil;trello;git
1/28/2019 9:48:33,Até 18 anos,Cursando Graduação,Programador/Desenvolvedor,"Sábado de manhã (9h às 12h), Sábado à tarde (14h às 17h), Palestras Online/Gravadas",apache selenium;elk;gestão de projetos;boas práticas para desenvolvimento;automatização de tarefas;testes;kernel;linux;backend;frontend;terminal;c/c++;c#;go;javascript;python;selenium;test complete;enterprise architect;git;itil;infraestrutura;redes de computadores,terminal;c/c++;javascript;python;desenvolvimento ágil;svn;redes de computadores
1/28/2019 9:49:07,26 à 35 anos,Graduação Completa,Programador/Desenvolvedor,"Sábado de manhã (9h às 12h), Palestras Online/Gravadas",java;javascript;python;selenium;enterprise architect;desenvolvimento ágil;git,oracle forms;reports;java;javascript;sql;selenium;svn
1/28/2019 9:52:08,19 à 25 anos,Cursando Graduação,Programador/Desenvolvedor,"Segunda-feira à noite (19h às 22h), Terça-feira à noite (19h às 22h), Quarta-feira à noite (19h às 22h), Quinta-feira à noite (19h às 22h), Sexta-feira à noite (19h às 22h), Sábado de manhã (9h às 12h), Sábado à tarde (14h às 17h), Palestras Online/Gravadas",terminal;c/c++;python;no sql;selenium;test complete;git;infraestrutura,terminal;c#;java;python;sql;desenvolvimento ágil;jira;git
1/28/2019 9:54:12,36 à 45 anos,Pós-graduação Completa,Gerente de Projetos/Produto,"Terça-feira à noite (19h às 22h), Quarta-feira à noite (19h às 22h), Quinta-feira à noite (19h às 22h)",python;no sql;selenium;git,c#;javascript;sql;desenvolvimento ágil;trello
1/28/2019 9:58:22,19 à 25 anos,Cursando Pós-graduação,Analista de Sistemas,"Segunda-feira à noite (19h às 22h), Terça-feira à noite (19h às 22h)",kanban;jira;git,terminal;c#;javascript;php;python;sql;no sql;trello;svn;itil
1/28/2019 10:17:56,26 à 35 anos,Pós-graduação Completa,Programador/Desenvolvedor,"Segunda-feira à noite (19h às 22h), Quarta-feira à noite (19h às 22h), Quinta-feira à noite (19h às 22h), Sexta-feira à noite (19h às 22h), Sábado de manhã (9h às 12h), Palestras Online/Gravadas",c/c++;python;sql;no sql,java;javascript;desenvolvimento ágil;jira;git
1/28/2019 10:32:22,26 à 35 anos,Pós-graduação Completa,Analista de Sistemas,"Segunda-feira à noite (19h às 22h), Terça-feira à noite (19h às 22h), Quarta-feira à noite (19h às 22h), Quinta-feira à noite (19h às 22h), Sexta-feira à noite (19h às 22h), Sábado de manhã (9h às 12h), Palestras Online/Gravadas",c/c++;javascript;python,c#;delphi;svn
1/28/2019 10:43:30,46 à 55 anos,Pós-graduação Completa,Coordenador de Desenvolvimento,"Terça-feira à noite (19h às 22h), Quinta-feira à noite (19h às 22h), Sexta-feira à noite (19h às 22h), Sábado de manhã (9h às 12h), Sábado à tarde (14h às 17h), Palestras Online/Gravadas",aws;c/c++;delphi;python;no sql;selenium;desenvolvimento ágil;jira;trello;git;itil,aws;c#;java;javascript;php;sql;test complete;enterprise architect;svn;infraestrutura;redes de computadores
1/28/2019 10:53:13,26 à 35 anos,Pós-graduação Completa,Analista de Qualidade,"Segunda-feira à noite (19h às 22h), Palestras Online/Gravadas",testes automatizados de performance;teste de carga;teste de stress;testes de segurança;terminal;go;python;no sql,ruby;testes de api;aws;jenkins;c#;javascript;sql;selenium;test complete;desenvolvimento ágil;git
1/28/2019 10:57:40,26 à 35 anos,Técnico Completo,Analista/Técnico de Suporte,"Segunda-feira à noite (19h às 22h), Terça-feira à noite (19h às 22h), Quarta-feira à noite (19h às 22h), Sábado de manhã (9h às 12h)",php;sql,sql
1/28/2019 10:59:04,26 à 35 anos,Graduação Completa,Programador/Desenvolvedor,"Terça-feira à noite (19h às 22h), Quinta-feira à noite (19h às 22h), Sábado de manhã (9h às 12h)",go,c/c++;python;jira;trello;git;redes de computadores
1/28/2019 11:06:34,19 à 25 anos,Cursando Graduação,Programador/Desenvolvedor,Palestras Online/Gravadas,c/c++;c#;go;python,delphi;java;javascript;sql;desenvolvimento ágil;git;svn;infraestrutura;redes de computadores
1/28/2019 11:07:00,26 à 35 anos,Graduação Completa,Programador/Desenvolvedor,"Segunda-feira à noite (19h às 22h), Terça-feira à noite (19h às 22h), Quarta-feira à noite (19h às 22h), Quinta-feira à noite (19h às 22h), Sexta-feira à noite (19h às 22h)",git,javascript;php;sql
1/28/2019 12:14:10,26 à 35 anos,Pós-graduação Completa,Analista de Sistemas,"Quinta-feira à noite (19h às 22h), Sábado de manhã (9h às 12h), Palestras Online/Gravadas",go;python;no sql;desenvolvimento ágil,c/c++;javascript;php;sql;git;svn
1/28/2019 13:04:56,26 à 35 anos,Cursando Graduação,Programador/Desenvolvedor,"Terça-feira à noite (19h às 22h), Quinta-feira à noite (19h às 22h), Sábado à tarde (14h às 17h), Palestras Online/Gravadas",c/c++;go;java,terminal;java;javascript;php;python;sql;no sql;jira;trello;git;infraestrutura
1/28/2019 13:10:50,19 à 25 anos,Cursando Graduação,Desempregado,"Segunda-feira à noite (19h às 22h), Quarta-feira à noite (19h às 22h), Quinta-feira à noite (19h às 22h), Sábado de manhã (9h às 12h), Sábado à tarde (14h às 17h)",c/c++;c#;java;sql;infraestrutura;redes de computadores,
1/28/2019 13:26:50,19 à 25 anos,Técnico Completo,Programador/Desenvolvedor,Palestras Online/Gravadas,criptomoeda;programação distribuída;rust;containers;segurança da informação,jetbrains rider;sql server;ci;cd;net core;linux;azure;containers;terminal;c#;javascript;sql;no sql;desenvolvimento ágil;jira;git
1/28/2019 13:54:31,19 à 25 anos,Cursando Graduação,Analista/Técnico de Suporte,"Sábado de manhã (9h às 12h), Sábado à tarde (14h às 17h), Palestras Online/Gravadas",desenvolvimento mobile;c#;go;python;no sql,
